,19.30% FGN APR 2029,19.89% FGN MAY 2033,source_file,auction_month,18.50% FGN FEB 2031,DESCRIPTION,17.95% FGN JUN 2032,19.00% FGN FEB 2034,16.2884% FGN MAR 2027,14.55% FGN APR 2029,14.70% FGN JUN 2033,15.45% FGN JUN 2038,22.60% FGN JAN 2035,19.300% FGN APR 2029,17.945% FGN AUG 2030,15.70% FGN JUN 2053,19.94% FGN MAR 2027
Auction Date:,"April 28, 2025","April 28, 2025",Summary of Auction Results for April 2025.pdf,2025-04-01,,,,,,,,,,,,,
Settlement Date:,"April 30, 2025","April 30, 2025",Summary of Auction Results for April 2025.pdf,2025-04-01,,,,,,,,,,,,,
Maturity Date:,"April 17, 2029","May 15, 2033",Summary of Auction Results for April 2025.pdf,2025-04-01,,,,,,,,,,,,,
Tenors:,5-Year,9-Year,Summary of Auction Results for April 2025.pdf,2025-04-01,,,,,,,,,,,,,
Term-To-Maturity:,4 Years,"8 Years, 1 Month",Summary of Auction Results for April 2025.pdf,2025-04-01,,,,,,,,,,,,,
Amount Offered:,₦200 billion,₦150 billion,Summary of Auction Results for April 2025.pdf,2025-04-01,,,,,,,,,,,,,
Total Bids:,35,189,Summary of Auction Results for April 2025.pdf,2025-04-01,,,,,,,,,,,,,
Successful Bids:,13,137,Summary of Auction Results for April 2025.pdf,2025-04-01,,,,,,,,,,,,,
Subscription:,₦43.791 billion,₦452.161 billion,Summary of Auction Results for April 2025.pdf,2025-04-01,,,,,,,,,,,,,
Amount Allotted:,₦21.127 billion,₦376.771 billion,Summary of Auction Results for April 2025.pdf,2025-04-01,,,,,,,,,,,,,
Non-Competitive Allotment:,₦50.000 billion,₦73.000 billion,Summary of Auction Results for April 2025.pdf,2025-04-01,,,,,,,,,,,,,
Range of Bids:,18.0000% - 20.5000%,17.0000% - 21.4800%,Summary of Auction Results for April 2025.pdf,2025-04-01,,,,,,,,,,,,,
Marginal Rates:,19.0000%,19.9900%,Summary of Auction Results for April 2025.pdf,2025-04-01,,,,,,,,,,,,,
Auction Date:,"December 16, 2024",,Summary of Auction Results for December 2024.pdf,2024-12-01,"December 16, 2024",,,,,,,,,,,,
Settlement Date:,"December 18, 2024",,Summary of Auction Results for December 2024.pdf,2024-12-01,"December 18, 2024",,,,,,,,,,,,
Maturity Date:,"April 17, 2029",,Summary of Auction Results for December 2024.pdf,2024-12-01,"February 21, 2031",,,,,,,,,,,,
Tenors:,5-Year,,Summary of Auction Results for December 2024.pdf,2024-12-01,7-Year,,,,,,,,,,,,
Term-To-Maturity:,"4 Years, 4 Months",,Summary of Auction Results for December 2024.pdf,2024-12-01,"6 Years, 2 Months",,,,,,,,,,,,
Amount Offered:,₦60 billion,,Summary of Auction Results for December 2024.pdf,2024-12-01,₦60 billion,,,,,,,,,,,,
Total Bids:,44,,Summary of Auction Results for December 2024.pdf,2024-12-01,116,,,,,,,,,,,,
Successful Bids:,30,,Summary of Auction Results for December 2024.pdf,2024-12-01,68,,,,,,,,,,,,
Subscription:,₦67.457 billion,,Summary of Auction Results for December 2024.pdf,2024-12-01,₦211.363 billion,,,,,,,,,,,,
Amount Allotted:,₦51.857 billion,,Summary of Auction Results for December 2024.pdf,2024-12-01,₦159.287 billion,,,,,,,,,,,,
Range of Bids:,19.3000% - 22.1400%,,Summary of Auction Results for December 2024.pdf,2024-12-01,19.0000% - 24.0000%,,,,,,,,,,,,
Marginal Rates:,21.1400%,,Summary of Auction Results for December 2024.pdf,2024-12-01,22.0000%,,,,,,,,,,,,
,,"February 23, 2026",Summary of Auction Results for February 2026.pdf,2026-02-01,,Auction Date:,"February 23, 2026","February 23, 2026",,,,,,,,,
,,"February 25, 2026",Summary of Auction Results for February 2026.pdf,2026-02-01,,Settlement Date:,"February 25, 2026","February 25, 2026",,,,,,,,,
,,"May 15, 2033",Summary of Auction Results for February 2026.pdf,2026-02-01,,Maturity Date:,"June 25, 2032","February 21, 2034",,,,,,,,,
,,9-Year,Summary of Auction Results for February 2026.pdf,2026-02-01,,Tenors:,7-Year,10-Year,,,,,,,,,
,,"7 Years, 3 Months",Summary of Auction Results for February 2026.pdf,2026-02-01,,Term-To-Maturity:,"6 Years, 4 Months",8 Years,,,,,,,,,
,,₦300.00 billion,Summary of Auction Results for February 2026.pdf,2026-02-01,,Amount Offered:,₦400.00 billion,₦100.00 billion,,,,,,,,,
,,268,Summary of Auction Results for February 2026.pdf,2026-02-01,,Total Bids:,184,287,,,,,,,,,
,,59,Summary of Auction Results for February 2026.pdf,2026-02-01,,Successful Bids:,39,47,,,,,,,,,
,,₦874.69 billion,Summary of Auction Results for February 2026.pdf,2026-02-01,,Subscription:,₦851.59 billion,₦972.93 billion,,,,,,,,,
,,₦208.63 billion,Summary of Auction Results for February 2026.pdf,2026-02-01,,Amount Allotted:,₦188.14 billion,₦127.51 billion,,,,,,,,,
,,14.9500% - 20.0350%,Summary of Auction Results for February 2026.pdf,2026-02-01,,Range of Bids:,14.9000% - 20.0000%,14.9500% - 20.0000%,,,,,,,,,
,,15.7400%,Summary of Auction Results for February 2026.pdf,2026-02-01,,Marginal Rates:,15.7400%,15.5000%,,,,,,,,,
Auction Date:,,,Summary of Auction Results for January 2024.pdf,2024-01-01,,,,,"January 29, 2024","January 29, 2024","January 29, 2024","January 29, 2024",,,,,
Settlement Date:,,,Summary of Auction Results for January 2024.pdf,2024-01-01,,,,,"January 31, 2024","January 31, 2024","January 31, 2024","January 31, 2024",,,,,
Maturity Date:,,,Summary of Auction Results for January 2024.pdf,2024-01-01,,,,,"March 17, 2027","April 26, 2029","June 21, 2033","June 21, 2038",,,,,
Tenors:,,,Summary of Auction Results for January 2024.pdf,2024-01-01,,,,,10-Year,10-Year,10-Year,15-Year,,,,,
Term-To-Maturity:,,,Summary of Auction Results for January 2024.pdf,2024-01-01,,,,,"3 Years, 2 Months","5 Years, 3 Months","9 Years, 5 Months","14 Years, 5 Months",,,,,
Amount Offered:,,,Summary of Auction Results for January 2024.pdf,2024-01-01,,,,,₦90.00 billion,₦90.00 billion,₦90.00 billion,₦90.00 billion,,,,,
Total Bids:,,,Summary of Auction Results for January 2024.pdf,2024-01-01,,,,,78,43,71,241,,,,,
Successful Bids:,,,Summary of Auction Results for January 2024.pdf,2024-01-01,,,,,65,34,57,206,,,,,
Subscription:,,,Summary of Auction Results for January 2024.pdf,2024-01-01,,,,,₦166.997 billion,₦56.839 billion,₦68.846 billion,₦311.875 billion,,,,,
