Date,Code,Description,Unit of Measure,Value
1986/05,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.72
1986/06,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,17.34
1986/07,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.39
1986/08,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.0
1986/09,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.3
1986/10,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.16
1986/11,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.93
1986/12,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.46
1987/01,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.36
1987/02,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.93
1987/03,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.46
1987/04,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.65
1987/05,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.08
1987/06,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.04
1987/07,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.49
1987/08,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.01
1987/09,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.17
1987/10,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.19
1987/11,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.34
1987/12,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.47
1988/01,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.25
1988/02,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.62
1988/03,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.75
1988/04,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.64
1988/05,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.38
1988/06,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.27
1988/07,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.06
1988/08,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.08
1988/09,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.09
1988/10,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.41
1988/11,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.75
1988/12,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.74
1989/01,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.52
1989/02,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.48
1989/03,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.96
1989/04,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,17.0
1989/05,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,17.08
1989/06,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,17.11
1989/07,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.91
1989/08,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.92
1989/09,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.64
1989/10,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.64
1989/11,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.64
1989/12,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.64
1990/01,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.64
1990/02,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.64
1990/03,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.64
1990/04,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.64
1990/05,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.64
1990/06,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.64
1990/07,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.64
1990/08,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.1
1990/09,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.49
1990/10,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.49
1990/11,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.42
1990/12,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.24
1991/01,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.13
1991/02,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.65
1991/03,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.67
1991/04,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.9
1991/05,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.06
1991/06,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.37
1991/07,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.42
1991/08,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.42
1991/09,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,17.15
1991/10,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,17.15
1991/11,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,17.15
1991/12,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.88
1992/01,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.52
1992/02,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,17.1
1992/03,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,17.1
1992/04,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.53
1992/05,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.12
1992/06,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.2
1992/07,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.6
1992/08,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.8
